coroner_area,count
Avon,79
Bedfordshire and Luton,64
Berkshire,45
Birmingham and Solihull,136
Blackpool and Fylde,40
Buckinghamshire,19
Cambridgeshire and Peterborough,32
Carmarthenshire and Pembrokeshire,21
Ceredigion,1
Cheshire,28
Cornwall and the Isles of Scilly,87
County Durham and Darlington,73
Coventry,19
Cumbria,59
Derby and Derbyshire,39
Dorset,54
East Riding of Yorkshire and Kingston-upon-Hull,17
East Sussex,15
Essex,61
Exeter and Greater Devon,43
Gateshead and South Tyneside,7
Gloucestershire,34
Greater Manchester North,103
Greater Manchester South,371
Greater Manchester West,106
Gwent,35
"Hampshire, Portsmouth and Southampton",75
Hartlepool,4
Herefordshire,9
Hertfordshire,28
Isle of Wight,19
Kent Central and South East,25
Kent Mid and Medway,54
Kent North East,20
Kent North West,7
Lancashire and Blackburn with Darwen,48
Leicester City and South Leicestershire,65
Lincolnshire,54
Liverpool and the Wirral,53
London City,12
London East,125
London Inner North,221
London Inner South,119
London Inner West,64
London North,57
London South,39
London West,47
Manchester City,60
Milton Keynes,61
Newcastle and North Tyneside,27
Norfolk,93
North Lincolnshire and Grimsby,5
North Wales (East & Central),76
North West Wales,14
North Yorkshire and York,17
Northamptonshire,25
Northumberland North,17
Northumberland South,1
Nottinghamshire,90
Oxfordshire,27
"Plymouth, Torbay and South Devon",48
Rutland and North Leicestershire,8
"Sefton, Knowsley and St Helens",4
"Shropshire, Telford and Wrekin",22
Somerset,18
South Wales Central,113
Staffordshire South,60
Stoke on Trent and North Staffordshire,43
Suffolk,47
Sunderland,41
Surrey,138
Swansea and Neath Port Talbot,21
Teesside,10
The Black Country Jurisdiction,77
Warwickshire,33
"West Sussex, Brighton and Hove",140
Wiltshire and Swindon,53
Worcestershire,46
Yorkshire South East,45
Yorkshire South West,67
Yorkshire West Eastern,96
Yorkshire West Western,77
