coroner_name,count
Ms Alison Patricia Mutch OBE,163
ME Hassell,101
John Pollard,86
Ms Nadia Persaud,76
Mrs Jacqueline F Lake,66
Mr Andrew Harris,64
Mrs Louise Hunt,64
Mr Andrew Cox,60
Miss Veronica HAMILTON-DEELEY,57
Mr John Gittins,55
Mr Zafar Siddique,53
Mrs lydia brown,52
Mr Kevin McLoughlin,52
Mr Andrew Walker,51
Mr Andrew Adrian Haigh,50
Ms Mary Hassell,47
Mr Martin Dominic Fleming,46
Mr Chris Morris,44
Dr Fiona Jane Wilcox,43
Ms Lisa Jeanette Hashmi,42
Mr graeme Irvine,41
Mrs Heidi Julia Connor,41
Mrs Caroline Beasley-Murray OBE,40
Mr Tom Osborne,40
Ms Joanne Kearsley,39
Mrs Maria Eileen Voisin,39
Mr Derek Winter DL,39
Miss Emma Brown,39
Mr Andrew Roger Barkley,38
Andre Rebello,37
Thomas Osborne,36
Ms Penelope Schofield,34
Mrs Rachael Clare Griffin,34
Mr Alan Wilson,33
Ms Caroline Saunders,33
Mr Alan Peter Walsh,33
Mr Andrew Tweddle,31
Dr Richard Ian Brittain,31
Mr David William Graham RIDLEY,30
Dr Karen Henderson,29
Mr Nigel Meadows,29
Miss Anna Crawford,29
Margaret Jones,28
Mr Nicholas Leslie Rheinberg,28
Ms Sonia Marie Hayes,27
Mr Ian Arrow,26
Mr Geraint Williams,26
Ms Nicola Jane Mundy,25
Ms Katy Skerrett,24
David Hinchcliff,24
Mr Philip Barlow,23
Mrs Emma Elizabeth Whitting,23
Ms Patricia Harding,23
Mr David Clark Horsley,23
Mr Nigel Parsley,23
Mr Ian Geoffrey Pears,22
Mr Richard Travers,22
Ms Jacqueline P Devonish,21
Sean Cummings,21
Jennifer Leaming,20
Mrs Karen Dilks,20
Mr DAVID LLEWELYN ROBERTS,20
Mrs Caroline Sarah Sumeray,20
Miss Caroline Topping,20
Guy Davies,19
Dr Elizabeth Didcock,19
Sean McGovern,19
Miss Emma Serrano,19
Mr Darren Michael Salter,19
Ms Selena R Lynch,18
Mr Andrew Michael Bridgman,18
Mr Crispin Oliver,18
Dr Peter Harrowing,17
Ms Catherine McKenna,17
Mr Graeme David Hughes,17
Mr John Penhale Ellery,17
Mr James Bennett,17
Mr David Donald William REID,17
Mr Paul Stanford Cooper,17
Dr Sarah-Jane Richards,16
Ms Sarah Bourke,16
Mrs Joanne Lees,16
Emma Carlyon,16
Dr Elizabeth A Earland,16
Mr Peter J Bedford,16
Jonathan Layton,15
