year,Ms Alison Patricia Mutch OBE,Ms Mary Hassell,Mr Professor John S Pollard,Ms Nadia Persaud,Mr Tom Osborne,Mrs Jacqueline F Lake,Mr Andrew Harris,Mrs Louise Hunt,Mr Andrew Cox,Miss Veronica HAMILTON-DEELEY,Mr John Gittins,Mr Zafar Siddique,Mr Kevin McLoughlin,Mrs lydia brown,Mr Andrew Walker,Mr Andrew Adrian Haigh,Mr Chris Morris,Mr Martin Dominic Fleming,Dr Fiona Jane Wilcox,Ms Lisa Jeanette Hashmi,Mrs Heidi Julia Connor,Mr graeme Irvine,Mrs Caroline Beasley-Murray OBE,Mr Andrew Roger Barkley,Ms Joanne Kearsley,Miss Emma Brown,Mr Derek Winter DL,Mrs Maria Eileen Voisin,Mr André Rebello OBE,Ms Penelope Schofield
2013,1,8,6,1,5,0,5,2,2,0,5,0,0,2,3,5,0,4,0,3,1,0,0,0,2,0,2,2,3,0
2014,0,18,30,3,15,12,13,6,5,9,12,4,1,7,14,8,0,7,10,9,3,0,8,5,9,0,7,5,5,2
2015,0,18,27,7,8,12,7,10,8,7,7,4,3,9,13,5,1,2,1,6,4,0,5,8,6,4,3,7,5,3
2016,1,16,18,9,9,4,7,9,6,7,4,8,1,9,6,2,0,10,7,5,5,0,7,11,6,7,2,1,4,3
2017,14,20,2,5,10,5,6,6,2,7,7,14,3,5,3,3,4,2,2,11,6,0,4,11,1,5,4,5,6,2
2018,28,14,2,6,6,1,3,8,7,7,3,11,8,4,2,7,7,10,7,6,4,0,3,1,2,9,6,4,2,2
2019,31,11,1,8,8,9,6,13,7,8,6,6,6,4,2,8,11,4,7,2,6,1,2,3,6,6,3,9,3,4
2020,24,9,0,11,5,5,4,2,7,3,1,1,6,0,4,7,8,0,1,0,1,11,11,0,0,1,2,1,2,4
2021,30,19,0,8,5,3,7,2,5,9,4,4,13,4,0,5,6,3,2,0,4,11,0,0,5,2,4,2,4,6
2022,24,10,0,9,3,13,3,3,5,0,4,1,7,6,4,0,10,2,3,0,3,14,0,0,2,3,4,2,2,3
2023,16,6,0,9,2,2,3,3,6,0,2,0,4,2,0,0,3,2,3,0,4,4,0,0,0,2,2,1,1,5
