year,Alison Longhorn,Alison Owen,Andrew McNamara,Andrew Thompson,Angela Hodes,Anthony Curzon,Anthony Eastwoods,Anthony Howard,Belinda Cheney,C W Malcolm Donnelly,Cdr. Richard Marshall RN,Chinyere Inyama,Christina Swann,Christopher Murray,Christopher Sutton-Mattocks,Christopher Woolley,Claire Balysz,Claire Hammond,Dame Linda Dobbs,David Hinchcliff,David James,David Skipp,David Urpeath,Donald Coutts-Wood,Dr Alexander Robert Walker Forrest,Dr Anton van Dellen,Dr Bridget Dolan QC,Dr Daniel Sharpstone,Dr David J Osborne,Dr E. Emma Carlyon,Dr Edward Patrick Morgan KC,Dr Elizabeth A Earland,Dr Elizabeth Didcock,Dr Fiona Jane Wilcox,Dr James Adeley,Dr Jason Wells,Dr Jeane Rosa Mellani,Dr Julian Rupert Laurence Morris,Dr Karen Henderson,Dr Leslie Hamilton,Dr M D Dominic Bell,Dr Marc Lindsey Leeming,Dr Murray James Spittal,Dr Nicholas Alastair Shaw,Dr Peter Dean,Dr Peter Harrowing,Dr Peter Henry Straker,Dr Rashid Sohail,Dr Richard Ian Brittain,Dr Robert Hunter,Dr Roy N Palmer,Dr Sam Bass,Dr Sarah-Jane Richards,Dr Shirley Radcliffe,Dr Simon Fox QC,Dr Séan Cummings,Edward Solomons,Elaine Moloney,Elizabeth Carlyon,Elizabeth Pygott,Eric Armstrong,Fiona Malek,Gail Elliman,Geoffrey Tomalin,Guy Davies,HH Judge Munro QC,HHJ Keith Cutler CBE,HHJ Loraine-Smith,HHJ Mark Lucraft QC,Hassan Shah,Henrietta Hills QC,Ian Boyes,Ian Brownhill,Ian Goldup,J Hamilton,J Robinson,Jane Gillespie,Janet Napier,Jennifer Leaming,Jenny Goldring,Joan Broadbridge,John Sleightholme,John Tomalin,John Woolley,Julian Fox,Julie Robertson,Karon Monaghan,Katie Sutherland,Katy Thorne,Kevin Paul Sutton,Laura Wendy Johnson,Lorna Tagliavini,Margaret Jones,Maria Mulrennan,Martin Gotheridge,Melanie Williamson,Michael Kendall,Michael Oakley,Michael R Rose,Michael Snell,Michael Spencer,Miss Alison McCormick,Miss Anna Crawford,Miss Bina Patel,Miss CARLY ELIZABETH HENLEY,Miss Caroline Margaret Jones,Miss Caroline Topping,Miss Clare Bailey,Miss Clare Doherty,Miss Elizabeth Dudley-Jones,Miss Emma Brown,Miss Emma Serrano,Miss Fiona Butler,Miss Georgina Gibbs,Miss Georgina Nolan,Miss Janine Richards,Miss Janine Wolstenholme,Miss Karin Elizabeth Welsh,Miss Kate Thomas,Miss Kirsty Gomersal,Miss Laura Nash,Miss Laurinda Bower,Miss Lorna Jane Skinner QC,Miss Lorraine Harris,Miss Louise E Rae,Miss Miss Briony Ballard,Miss Naomi Rees,Miss Rachel Elisabeth Knight,Miss Rachel Raheela Syed,Miss Sabyta Kaushal,Miss Sarah Murphy,Miss Sarah Ormond-Walshe,Miss Sarah Riley,Miss Sarah Watson,Miss Sophie Cartwright KC,Miss Veronica HAMILTON-DEELEY,Miss Wendy James,Mr Adam Hodson,Mr Adam Smith,Mr Adrian John Farrow,Mr Alan James Blunsdon,Mr Alan Moore,Mr Alan Peter Walsh,Mr Alan R Craze,Mr Alan Wilson,Mr Aled Wyn Gruffydd,Mr Andrew Adrian Haigh,Mr Andrew Cox,Mr Andrew David Cousins,Mr Andrew Harris,Mr Andrew M Bradley,Mr Andrew Michael Bridgman,Mr Andrew Philip Hetherington,Mr Andrew Roger Barkley,Mr Andrew Tweddle,Mr Andrew Walker,Mr André Rebello OBE,Mr Anthony Mazzag,Mr Brendan Joseph Allen,Mr Chris Morris,Mr Christopher Briggs,Mr Christopher Campbell Wilkinson,Mr Christopher Dorries,Mr Colin Phillips,Mr Craig Smith,Mr Crispin Giles Butler,Mr Crispin Oliver,Mr D T Bowen,Mr DAVID LLEWELYN ROBERTS,Mr DAVID MORRIS,Mr Darren Michael Salter,Mr Darren Stewart OBE,Mr David Clark Horsley,Mr David Donald William REID,Mr David Heming,Mr David Lewis,Mr David Pojur,Mr David Regan,Mr David William Graham RIDLEY,Mr Delroy Henry,Mr Derek Winter DL,Mr Dewi Pritchard Jones,Mr Duncan James Ritchie,Mr Edmund Gritt,Mr Edward G Thomas,Mr Edward Ramsay,Mr Edward Steele,Mr Edwin Buckett,Mr Gareth Lewis,Mr Geoffrey M. Saul,Mr Geoffrey Sullivan,Mr Geraint Williams,Mr Gordon Clow,Mr Graeme David Hughes,Mr Graham Rollason Danbury,Mr Grahame Antony Short,Mr HG Mark Bricknell,Mr Heath Westerman,Mr Ian Arrow,Mr Ian Christopher James Dreelan,Mr Ian Geoffrey Pears,Mr Ian Smith,Mr Ian Wade KC,Mr Ivan Cartwright,Mr J Mark Layton,Mr JOHN BROADBRIDGE,Mr Jake Taylor,Mr James Bennett,Mr James Edward Thompson,Mr James Hargan,Mr James Healy-Pratt,Mr James Jerome Dillon,Mr James Newman,Mr Jason Pegg,Mr Jeremy Chipperfield,Mr John C Taylor,Mr John Gittins,Mr John Hobson,Mr John Joseph Buckley,Mr John Matthews,Mr John Penhale Ellery,Mr Jonathan D P Stevens,Mr Jonathan David Leach,Mr Jonathan Dixey,Mr Jonathan Landau,Mr Jonathan Richard Heath,Mr Joseph Hart,Mr Joseph Turner,Mr Keith Morton QC,Mr Kevin McLoughlin,Mr Kimberley Ian Singleton,Mr Lincoln Brookes,Mr Mark Andrew Beresford,Mr Martin Dominic Fleming,Mr Martin Douglas Oldham,Mr Matthew A Cox,Mr Matthew Kewley,"Mr Michael J C Burgess CVO, OBE",Mr Michael Louis Sheridan Mellun,Mr Michael Singleton,Mr Michael Wall,Mr Michael Walsh,Mr Mr P J Bennett,Mr Neil Cameron,Mr Nicholas Graham,Mr Nicholas H Lane,Mr Nicholas Leslie Rheinberg,Mr Nicholas Mark Flanagan,Mr Nicholas Moss QC,Mr Nick Seán Stanage,Mr Nigel Meadows,Mr Nigel Parsley,Mr Oliver Robert Longstaff,Mr Paul B Matthews,Mr Paul Duncan Smith,Mr Paul John Rogers,Mr Paul Kelly,Mr Paul Stanford Cooper,Mr Paul Vernon Marks,Mr Peter Brunton,Mr Peter J Bedford,Mr Peter Judge,Mr Peter Nieto,Mr Peter Sigee,Mr Philip Anthony Holden,Mr Philip Barlow,Mr Philip Spinney,Mr Professor John S Pollard,Mr RAVI SIDHU,Mr Raja Mahmood,Mr Richard G Taylor,Mr Richard Travers,Mr Rob Sowersby,Mr Rob Turnbull,Mr Robert Chapman,Mr Robert Cohen,Mr Robert Craig Simpson,Mr Roger Linton Hatch,Mr Russell Ashley Caller,Mr S. McGovern,Mr SIMON NELSON,Mr Scott Matthewson,Mr Sean Kevan Horstead,Mr Sheriff S Payne,Mr Simon Jones,Mr Simon Milburn,Mr Simon Nicholas Burge,Mr Simon Wickens,Mr Stephen Covell,Mr Stephen George Eccleston,Mr Stephen John Nicholls,Mr Stuart P G Fisher,Mr Terence Carney,Mr Thomas Richard Geoffrey Leeper,Mr Tim Deeming,Mr Tim Holloway,Mr Timothy William Brennand,Mr Tom Osborne,Mr Tom Stoate,Mr Tony Badenoch,Mr Tony Brown,Mr Tony Williams,Mr Xavier Mooyaart,Mr Zafar Siddique,Mr Zak Golombeck,Mr christopher paul williams,Mr graeme Irvine,Mr james puzey,Mrs Angela Carol Brocklehurst,Mrs Anita Bhardwaj,Mrs Anna Loxton,Mrs Anne Pember,Mrs Caroline Beasley-Murray OBE,Mrs Caroline Sarah Sumeray,Mrs Catharine Palmer,Mrs Catherine Mason,Mrs Charlotte Keighley,Mrs Claire Welch,Mrs Deborah Suzanne Rookes,Mrs Dianne Hocking,Mrs Eleanor Kay McGann,Mrs Emma Elizabeth Whitting,Mrs Heidi Julia Connor,Mrs Helen Rachel Redman,Mrs Jacqueline F Lake,Mrs Jean Harkin,Mrs Jo Wharton,Mrs Joanne Andrews,Mrs Joanne Lees,Mrs Karen Dilks,Mrs Karen Harrold,Mrs LINDA KAREN HADFIELD LEE,Mrs Lauren Costello,Mrs Louise Hunt,Mrs Maria Eileen Voisin,Mrs Rachael Clare Griffin,Mrs Rebecca Ollivere,Mrs Rosamund Rhodes-Kemp,Mrs SARAH LOUISE SLATER,Mrs Samantha Goward,Mrs Samantha Marsh,Mrs Sarah L. Whitby,Mrs Tanyka Samantha Rawden,Mrs kirsten heaven,Mrs lydia brown,Ms Abigail Combes,Ms Alison Brydie Hewitt,Ms Alison Patricia Mutch OBE,Ms Allison SUMMERS,Ms Amy Street,Ms Angharad Davies,Ms Anna Morris,Ms Caroline Saunders,Ms Catherine Cundy,Ms Catherine Judith Wood,Ms Catherine McKenna,Ms Deborah Archer,Ms Elizabeth Gray,Ms Fiona Borrill,Ms Fiona King,Ms Gemma Brannigan,Ms Gilva Dagmar Jane Tisshaw,Ms Heather Williams,Ms Henrietta Hill QC,Ms Jacqueline P Devonish,Ms Jan Alam,Ms Joanne Kearsley,Ms Johanna Thompson,Ms Joy Michelle Brown OBE,Ms Julie Alison Goulding,Ms Kally Cheema,Ms Kate Robertson,Ms Katrina Hepburn,Ms Katy Ainge,Ms Katy Skerrett,Ms Leanne Woods,Ms Lisa Jeanette Hashmi,Ms Mary Hassell,Ms Mary T Burke,Ms Myfanwy Buckeridge,Ms Nadia Persaud,Ms Nicola Jane Mundy,Ms Nicola Jones,Ms Patricia Harding,Ms Penelope Schofield,Ms Rachel Galloway,Ms Rebecca Margaret COBB,Ms Sarah Bourke,Ms Selena R Lynch,Ms Sonia Marie Hayes,Ms Sophie Lomas,Ms Susan Ridge,Ms Vanessa McKinlay,Ms Yvonne Kathleen Blake,Ms jessica russell-mitra,N G Gardiner,Neil Joseph Cronin,Pail O'Donnell,Paul O'Donnell,Philip Rogers,Philip Sharp,R .David Crawford Clarke,R J Balmain,Rachael Griffith,Raymond Curtis,Richard A Hulett,Richard Furniss,Richard Thomas Middleton,Rosemary Jane Baxter,Samuel James Faulks,Sara Lewis,Sarah Huntbach,Sian Scott Jones,Simon Allen,Simon Ward,Siobhan Kelly,Sir Peter Thornton QC,Stephanie Haskey,Terence Moore,Timothy H Ratcliffe,Trevor Kirkland,William Coverdale,William R Morris,Wm J Armstrong OBE
2013,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,3,0,5,2,0,5,0,1,0,0,4,3,3,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,1,0,0,0,1,2,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,8,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,2
2014,0,0,1,2,0,0,2,0,1,0,0,1,0,0,0,4,0,0,0,8,1,1,0,5,5,0,1,0,5,0,0,4,0,10,0,0,0,0,10,0,0,0,0,0,5,2,0,0,12,1,3,1,2,0,0,1,0,0,1,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,2,0,0,0,1,0,0,0,0,4,3,0,0,5,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,4,0,0,0,0,2,5,1,7,0,8,5,0,13,0,0,0,5,8,14,5,0,0,0,0,0,1,1,0,0,2,0,5,1,5,0,11,0,0,0,0,0,8,0,7,0,0,0,4,0,0,0,0,0,0,3,0,1,0,1,0,0,4,0,1,3,0,0,4,0,0,0,0,0,0,0,0,1,1,0,12,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,3,2,0,0,0,3,0,30,1,0,0,7,0,1,4,0,0,0,0,4,5,0,0,0,1,0,0,2,0,0,1,3,3,0,0,0,0,15,0,0,5,0,0,4,0,0,0,0,0,0,0,1,8,4,0,2,0,0,0,0,2,0,3,4,12,1,0,0,0,1,1,0,0,6,5,0,0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,9,18,1,0,3,4,2,2,2,0,3,0,4,0,0,0,0,0,0,1,0,0,0,1,1,1,6,0,1,4,0,0,0,1,2,0,1,1,0,1,0,2,1,1,1,2,0,0
2015,0,0,0,1,0,2,0,0,1,1,0,2,1,1,0,4,2,2,0,3,0,0,2,0,3,0,2,0,2,2,0,7,2,1,0,0,0,0,1,0,0,0,0,0,1,5,0,0,5,1,2,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1,1,4,1,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,0,0,0,0,14,0,4,0,5,8,0,7,0,1,0,8,10,13,5,0,0,1,0,1,1,1,0,1,3,0,3,0,3,0,2,0,1,0,0,0,3,0,3,3,0,0,2,0,0,0,1,0,0,7,0,1,0,1,0,0,2,0,0,3,1,0,2,0,0,0,0,0,0,0,1,0,0,1,7,0,0,1,2,0,0,0,0,0,0,1,0,3,2,0,0,2,0,1,0,1,0,3,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,4,5,0,0,0,2,0,27,0,0,1,2,0,0,2,0,0,0,0,3,4,0,0,1,2,0,0,4,0,0,0,4,1,0,0,0,0,8,0,1,0,0,0,4,0,0,0,0,0,0,0,1,5,1,0,5,0,0,0,0,1,1,4,3,12,0,0,0,0,3,0,0,0,10,7,5,0,0,0,0,0,1,0,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,0,0,2,0,6,18,4,0,7,8,2,4,3,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0
2016,0,0,1,0,1,0,0,0,2,0,1,2,2,0,0,0,1,0,0,6,0,1,2,0,2,0,1,0,1,7,0,1,1,7,3,0,0,1,5,0,0,1,2,0,1,5,0,0,5,1,1,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,2,3,1,1,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,3,0,1,0,2,6,0,7,0,5,0,11,6,6,4,0,1,0,0,0,2,1,0,1,4,1,5,0,0,0,6,1,0,0,0,0,3,1,2,0,0,0,0,0,0,1,0,0,2,3,0,2,2,4,0,0,4,0,3,2,0,0,5,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,4,0,0,0,0,2,0,0,0,1,2,0,4,10,0,0,0,0,0,7,0,0,1,0,0,0,5,0,0,0,5,1,0,0,2,0,0,1,1,0,3,1,0,0,1,2,0,18,0,0,0,6,1,0,2,0,0,1,0,2,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,9,0,0,2,2,0,8,0,1,0,0,0,0,0,0,7,2,0,2,0,0,0,1,1,1,5,3,4,2,0,0,0,2,2,0,0,9,1,7,0,0,1,0,0,1,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,6,1,0,1,0,0,0,0,3,0,5,16,2,0,9,4,1,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2017,0,0,3,0,1,0,0,0,0,0,0,0,0,3,1,1,0,1,0,5,0,0,0,0,0,0,1,0,0,5,0,3,2,2,1,0,0,2,1,0,0,0,0,0,1,1,0,1,4,0,0,0,0,1,3,2,1,0,1,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,2,7,0,0,0,2,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,1,0,0,2,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,1,0,4,1,2,2,3,2,0,6,1,2,0,11,3,3,6,0,0,4,0,0,3,0,0,3,0,0,2,0,1,1,4,0,1,3,0,0,5,0,4,0,0,0,0,0,0,2,1,0,1,2,0,0,0,4,0,0,1,0,8,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,3,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,1,3,0,0,0,0,0,1,4,1,0,5,0,1,1,0,1,6,2,0,0,0,0,0,1,1,0,0,2,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,5,10,0,0,2,2,0,14,0,1,0,0,0,1,2,1,4,1,0,0,0,0,0,1,1,2,6,0,5,1,0,1,0,3,3,0,0,6,5,2,0,0,3,0,0,1,0,0,5,0,1,14,0,0,0,2,1,0,0,1,0,0,2,0,1,1,2,1,1,0,1,1,0,1,1,0,0,0,7,0,11,20,1,0,5,5,3,5,2,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,4,0,1,0,0,0,0,3,0,0,0,7,0,0,0,0,1,1,0,0,0,0,2,2,0,1,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,2,0,0,0,7,2,0,0,0,0,0,2,0,4,0,7,7,0,3,0,1,1,1,0,2,2,1,3,7,0,0,4,0,0,2,1,0,2,0,2,1,0,0,0,0,1,0,2,0,6,1,0,0,0,0,0,0,0,0,5,2,0,3,0,2,0,1,1,0,6,0,1,0,2,2,0,1,0,0,1,0,1,0,1,0,3,0,0,0,0,0,3,0,0,0,1,0,0,8,0,0,0,10,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,3,1,0,1,0,0,0,2,0,0,0,1,0,1,6,0,2,1,0,0,0,2,1,0,0,0,1,3,7,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,6,0,0,0,2,0,11,0,1,0,0,0,0,2,2,3,4,0,0,0,0,0,2,0,3,4,0,1,0,0,0,2,2,1,0,0,8,4,4,0,0,2,0,0,0,2,0,4,0,0,28,1,0,1,1,4,0,0,2,1,0,0,0,0,0,1,2,2,0,2,0,0,1,0,0,0,0,3,0,6,14,0,0,6,1,0,0,2,4,0,7,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,2,3,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,2,1,0,0,1,1,0,1,6,3,0,1,0,0,0,0,0,1,0,3,0,0,0,4,0,4,2,0,1,1,0,0,0,8,0,2,0,2,0,2,1,4,1,4,8,7,1,6,0,2,0,3,0,2,3,1,1,11,1,1,2,0,0,4,0,0,0,0,4,0,0,3,0,0,1,4,3,1,3,0,0,0,0,0,0,4,0,0,1,3,1,3,0,1,1,2,5,0,1,0,0,0,2,0,0,8,1,0,3,0,1,0,3,1,6,3,0,0,2,0,1,0,1,0,0,0,0,6,1,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,5,6,2,0,2,0,0,2,1,0,0,1,1,3,0,2,1,1,0,0,0,3,0,0,1,0,3,2,1,2,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,3,2,8,0,0,1,0,1,6,1,2,1,0,1,0,1,0,2,4,0,0,0,1,0,1,0,6,6,0,9,5,0,1,1,4,2,0,0,13,9,2,0,1,1,0,4,0,2,0,4,1,2,31,0,1,1,0,5,0,1,4,1,1,0,1,0,1,0,1,6,0,6,0,0,0,2,0,0,0,7,0,2,11,1,0,8,1,0,1,4,7,0,8,0,5,0,0,0,5,0,0,0,0,1,0,0,3,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,1,1,3,0,1,1,1,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,1,0,5,0,0,0,1,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,4,0,7,7,0,4,0,2,0,0,0,4,2,0,2,8,0,0,0,4,0,0,3,0,0,0,1,0,0,2,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,3,3,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,2,4,0,1,0,1,1,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2,3,5,0,0,0,0,0,1,0,0,11,0,0,1,0,0,11,1,1,1,0,0,0,1,0,5,1,0,5,0,0,2,7,1,0,0,0,2,1,3,0,0,0,0,1,0,1,0,0,3,0,24,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,11,0,0,1,4,1,0,0,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,4,2,0,1,2,0,0,0,0,2,0,0,0,0,2,2,0,0,1,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,4,1,2,1,4,0,0,0,2,6,0,0,0,0,1,1,1,0,0,3,2,4,0,0,0,1,0,1,3,1,0,1,0,9,0,4,0,1,1,0,0,0,5,1,5,5,0,7,0,3,2,0,0,0,4,0,3,6,0,0,0,1,0,2,1,0,0,0,2,0,0,5,0,2,0,2,0,0,4,0,0,0,0,0,0,2,0,0,0,0,6,1,0,0,0,0,4,0,2,0,0,0,0,1,0,1,2,1,1,0,0,4,1,0,4,2,0,0,1,1,0,0,4,1,0,0,0,13,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,4,0,3,0,3,3,0,0,1,0,0,2,1,1,0,0,2,0,1,2,0,0,0,0,0,1,0,0,0,0,3,0,0,4,1,3,4,0,0,1,0,0,2,0,1,0,0,0,1,0,1,5,1,0,0,0,0,4,2,0,11,0,0,0,2,0,0,1,1,2,0,0,2,1,0,1,4,0,3,0,0,0,4,1,0,0,1,2,2,2,1,0,0,0,2,0,0,0,4,3,1,30,0,0,0,1,8,1,0,3,0,0,0,1,1,1,0,1,1,0,5,0,2,1,0,0,0,0,0,0,0,19,2,0,8,2,0,1,6,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,4,3,0,0,0,0,6,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,2,4,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,3,0,0,1,3,1,2,0,1,0,0,1,1,2,0,3,1,3,1,0,0,5,2,1,0,0,0,0,0,0,0,2,1,2,0,0,2,1,1,0,0,5,0,3,0,1,2,0,0,4,2,0,1,10,0,2,0,0,1,0,3,0,0,0,1,0,0,2,0,1,0,1,1,0,4,0,0,0,0,0,0,1,0,0,2,0,4,4,1,0,3,1,2,0,0,0,2,0,0,3,0,3,0,0,1,1,0,3,3,0,4,0,0,0,1,1,0,0,3,2,0,0,1,7,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,5,3,1,0,1,0,0,4,1,0,0,1,1,0,0,3,0,0,0,0,0,3,2,0,0,1,4,0,1,2,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,3,1,0,0,1,0,1,2,1,14,1,0,1,3,0,0,0,0,0,0,1,0,1,0,3,3,0,13,1,1,2,2,2,2,0,2,3,2,5,0,1,0,1,2,0,3,2,6,6,0,24,0,0,0,1,7,1,5,3,1,0,0,0,1,0,0,0,1,0,2,1,3,1,0,0,1,0,1,1,0,10,1,1,9,0,0,1,3,0,0,1,0,1,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
