coroner_name,count
Ms Alison Patricia Mutch OBE,175
Ms Mary Hassell,151
Mr Professor John S Pollard,86
Mr Tom Osborne,78
Ms Nadia Persaud,77
Mrs Jacqueline F Lake,69
Mr Andrew Harris,66
Mrs Louise Hunt,64
Mr Andrew Cox,60
Mr John Gittins,57
Miss Veronica HAMILTON-DEELEY,57
Mrs lydia brown,53
Mr Zafar Siddique,53
Mr Kevin McLoughlin,53
Mr Andrew Walker,51
Mr Chris Morris,51
Mr Andrew Adrian Haigh,50
Mr Martin Dominic Fleming,46
Mr graeme Irvine,45
Dr Fiona Jane Wilcox,43
Ms Lisa Jeanette Hashmi,42
Mrs Heidi Julia Connor,42
Mrs Maria Eileen Voisin,40
Mrs Caroline Beasley-Murray OBE,40
Mr Andrew Roger Barkley,39
Mr Derek Winter DL,39
Miss Emma Brown,39
Ms Joanne Kearsley,39
Mr André Rebello OBE,37
Mr Alan Wilson,36
Mr Alan Peter Walsh,34
Mrs Rachael Clare Griffin,34
Ms Penelope Schofield,34
Ms Caroline Saunders,33
Mr Andrew Tweddle,31
Dr Richard Ian Brittain,31
Mr David William Graham RIDLEY,30
Miss Anna Crawford,30
Dr Karen Henderson,29
Mr Nigel Meadows,29
Mr S. McGovern,29
Mr Nicholas Leslie Rheinberg,28
Margaret Jones,28
Ms Sonia Marie Hayes,27
Mr Ian Arrow,26
Mr Geraint Williams,26
Ms Nicola Jane Mundy,25
Ms Katy Skerrett,24
David Hinchcliff,24
Mr David Clark Horsley,23
Ms Patricia Harding,23
Mr Philip Barlow,23
Dr Séan Cummings,23
Mrs Emma Elizabeth Whitting,23
Mr Nigel Parsley,23
Ms Jacqueline P Devonish,22
Mr Ian Geoffrey Pears,22
Mr Richard Travers,22
Miss Caroline Topping,21
Mr DAVID LLEWELYN ROBERTS,21
Mrs Karen Dilks,20
Guy Davies,20
Mrs Caroline Sarah Sumeray,20
Jennifer Leaming,20
Mr David Donald William REID,20
Mr Paul Stanford Cooper,20
Miss Emma Serrano,19
Mr Darren Michael Salter,19
Dr Elizabeth Didcock,19
Mr John Penhale Ellery,18
Ms Selena R Lynch,18
Mr Andrew Michael Bridgman,18
Mr Crispin Oliver,18
Ms Catherine McKenna,17
Mr James Bennett,17
Mr Graeme David Hughes,17
Dr E. Emma Carlyon,17
Dr Peter Harrowing,17
Mr J Mark Layton,17
Mrs Joanne Lees,16
Ms Sarah Bourke,16
Dr Sarah-Jane Richards,16
Dr Elizabeth A Earland,16
Mr Peter J Bedford,16
Mr SIMON NELSON,15
Mr Christopher Dorries,15
Ms Rachel Galloway,15
Mr Crispin Giles Butler,15
Mr Geoffrey Sullivan,15
Ms Yvonne Kathleen Blake,15
Mrs Catherine Mason,15
David Urpeath,14
Mr Michael Singleton,14
Ms Abigail Combes,14
Ms Mary T Burke,14
Mr Brendan Joseph Allen,13
Mr Grahame Antony Short,13
Mr Timothy William Brennand,13
Miss Rachel Elisabeth Knight,13
Dr Alexander Robert Walker Forrest,13
Stephanie Haskey,13
Hassan Shah,12
Dr Simon Fox QC,12
Mr Robert Craig Simpson,12
Mrs Helen Rachel Redman,12
Mr Gordon Clow,12
Mrs Samantha Marsh,12
Mr Robert Chapman,12
Mr Jeremy Chipperfield,12
Mrs Anna Loxton,12
Mr Jason Pegg,12
Mr Edwin Buckett,11
