year,Ms Alison Patricia Mutch OBE,Ms Mary Hassell,Mr Professor John S Pollard,Ms Nadia Persaud,Mr Tom Osborne,Mrs Jacqueline F Lake,Mr Andrew Cox,Mrs Louise Hunt,Mr Andrew Harris,Mr John Gittins,Mr Chris Morris,Miss Veronica HAMILTON-DEELEY,Mr graeme Irvine,Mr Kevin McLoughlin,Mr Zafar Siddique,Mrs lydia brown,Ms Joanne Kearsley,Mr Andrew Walker,Mr Martin Dominic Fleming,Mr Andrew Adrian Haigh,Dr Fiona Jane Wilcox,Mrs Heidi Julia Connor,Mrs Maria Eileen Voisin,Miss Emma Brown,Ms Lisa Jeanette Hashmi,Ms Penelope Schofield,Mrs Rachael Clare Griffin,Ms Caroline Saunders,Mr André Rebello OBE,Mr Andrew Roger Barkley
2013,1,8,6,1,5,0,2,2,5,5,0,0,0,0,0,2,2,3,4,5,0,1,2,0,3,0,0,0,3,0
2014,0,18,30,3,15,12,5,6,13,12,0,9,0,1,4,7,9,14,7,8,10,3,5,0,9,2,0,0,5,5
2015,0,18,27,7,8,12,8,10,7,7,1,7,0,3,4,9,6,13,2,5,1,4,7,4,6,3,5,0,5,8
2016,1,16,18,9,9,4,6,9,7,4,0,7,0,1,8,9,6,6,10,2,7,5,1,7,5,3,7,0,4,11
2017,14,20,2,5,10,5,2,6,6,7,4,10,0,3,14,5,1,3,2,3,2,6,5,5,11,2,2,1,6,11
2018,28,14,2,6,6,1,7,8,3,3,7,10,0,8,11,4,2,2,10,7,8,4,5,9,6,2,4,4,2,1
2019,31,11,1,8,8,9,8,13,6,6,11,8,1,6,6,4,6,2,4,8,7,6,9,6,2,4,2,5,3,3
2020,24,9,0,11,5,5,7,2,4,1,8,3,11,6,1,0,0,4,0,7,1,1,1,1,0,4,3,3,2,0
2021,30,19,0,8,5,3,5,2,7,4,6,9,11,13,4,4,5,0,3,5,2,4,2,2,0,6,2,8,4,0
2022,25,10,0,9,3,13,5,3,3,4,10,0,14,7,1,6,3,4,2,0,3,3,2,3,0,3,5,7,2,0
2023,29,11,0,12,5,7,9,3,5,7,5,0,12,6,0,3,5,1,2,0,4,6,2,4,0,6,6,6,2,0
2024,34,13,0,7,3,7,6,6,1,5,9,0,9,2,2,1,6,0,2,0,4,5,4,1,0,6,5,7,1,1
2025,2,1,2,0,0,0,0,0,0,1,3,0,0,1,0,0,2,0,3,0,0,0,0,1,0,1,0,0,1,0
