sent_to,count
NHS England,95
Department of Health,83
Care Quality Commission,44
Department of Health and Social Care,28
Network Rail,23
Department for Transport,20
Home  Office,20
Betsi Cadwaladr University Health Board,20
N.I.C.E,17
Health and Safety Executive,16
Pennine Care NHS Trust,16
NOMS,16
Department for Health,16
Highways England,15
MOJ,15
MHRA,14
Greater Manchester Police,13
Metropolitan Police,11
Civil Aviation Authority,9
East London NHS Trust,9
Care UK,9
Barts Health NHS Trust,9
Durham County Council,8
East Midlands Ambulance Service,8
Secretary of State for Transport,8
Pennine Care NHS Foundation Trust,8
National Police Chiefs’ Council,8
General Medical Council,8
Stockport NHS Foundation Trust,8
Transport for London,8
NHS Digital,8
Department for Education,8
Royal London Hospital,8
College of Policing,7
Department for Health and Social Care,7
West Midlands Police,7
HM Prison and Probation Service,7
ABMU Health Board,7
Birmingham City Council,6
East of England Ambulance Service,6
Queen Elizabeth Hospital,6
Leeds Teaching Hospitals NHS Trust,6
HC-One,6
Tameside General Hospital,6
Birmingham CCG,6
Royal Bolton Hospital,6
Aneurin Bevan University Health Board,6
G4S,6
Welsh Assembly Government,6
National Probation Service,6
Secretary of State for Health,6
Sussex Partnership NHS Trust,6
Medway NHS Foundation Trust,6
London Ambulance Service NHS Trust,5
Oxleas NHS Trust,5
NHS Pathways,5
MOD,5
University Health Board,5
Birmingham and Solihull Mental Health NHS Trust,5
London Ambulance Service,5
Department of Transport,5
Portsmouth Hospitals NHS Trust,5
Blackpool Teaching Hospitals NHS Trust,5
University Hospitals Birmingham NHS Trust,5
Greater Manchester Health and Social Care Partnership,5
Norfolk & Suffolk NHS Trust,5
West Sussex County Council,5
Lincolnshire County Council,4
Royal College of Obstetricians and Gynaecologists,4
Tameside Hospital NHS Foundation Trust,4
Welsh Ambulance Service NHS Trust,4
Essex Partnership NHS Foundation Trust,4
Public Health England,4
Pennine Acute Hospitals NHS Trust,4
Gloucestershire Hospitals NHS Trust,4
Sussex Partnership NHS Foundation Trust,4
Oxford Health NHS Trust,4
Secretary of State for Education,4
Association of Ambulance Chief Executives,4
Ministry of Defence,4
HMP Pentonville,4
Whittington Health NHS Trust,4
Metropolitan Police Service,4
Hellesdon Hospital,4
Surrey County Council,4
Devon Partnership NHS Trust,4
Welsh Government,4
Central and North West London NHS Trust,4
Clinical Commissioning Group,4
HM Prisons and Probation Service,4
Nursing and Midwifery Council,4
West Midlands Ambulance Service,4
Department of Education,4
NHS Improvement,4
HMP Durham,3
Salford Royal Hospital,3
Sheffield Teaching Hospitals NHS Foundation Trust,3
Hampshire County Council,3
HMP Long Lartin,3
British Medical Association,3
Sheffield City Council,3
University Hospitals Birmingham NHS Foundation Trust,3
University Hospitals Plymouth NHS Trust,3
Royal Cornwall Hospital,3
EPUT,3
Trafford Borough Council,3
Stockport NHS Trust,3
The Cambian Group,3
The Caravan Club,3
Cwm Taf Morgannwg University Health Board,3
Cwm Taf University Health Board,3
Swansea Bay University Health Board,3
The Dudley Group NHS Trust,3
Sussex Police,3
The Home Office,3
Surrey Fire and Rescue Service,3
Cheshire East Highways Department,3
Cheshire East Council,3
Devon NHS Trust,3
Devon Partnership Trust,3
Doncaster Royal Infirmary,3
The Northern Care Alliance NHS Trust,3
Food Standards Agency,3
Dorset Police,3
Driver & Vehicle Licensing Agency,3
Stepping Hill Hospital,3
Staffordshire County Council,3
The Priory Hospital,3
Cornwall NHS Trust,3
East London NHS Foundation Trust,3
Cardiff and Vale University Health Board,3
East Midlands Ambulance Service NHS Trust,3
The Showmen’s Guild of Great Britain,3
Southern Health NHS Foundation Trust,3
Camden & Islington NHS Trust,3
South Wales Police,3
Calderdale Council,3
Royal Free Hospital,3
Cornwall Council,3
Medicines and Healthcare Products Regulatory Agency,3
North West Ambulance Service,3
Birmingham Community Healthcare NHS Trust,3
James Paget University Hospital,3
Walsall Healthcare NHS Trust,3
Nottingham University Hospitals NHS Trust,3
West Wales General Hospital,3
Plymouth Hospitals NHS Trust,3
Birmingham and Solihull CCG,3
North East London Foundation Trust,3
Milton Keynes University Hospital,3
Joint Royal Colleges Ambulance Liaison Committee,3
Pennine Acute NHS Trust,3
Homerton University Hospital NHS Trust,3
Kent County Council,3
Welsh Ambulance NHS Trust,3
Nottinghamshire Healthcare NHS Foundation Trust,3
Maritime Coastguard Agency,3
Milton Keynes CCG,3
Royal College of Psychiatrists,3
Royal College of Physicians,3
Welsh Ambulance Trust,3
Warwick Hospital,3
Welsh Ambulance Services NHS Trust,3
Various recipients – please see the report.,3
Wiltshire Police,3
NWAS,3
Yorkshire Ambulance Service NHS Trust,3
Royal College of Anaesthetists,3
Nottingham County Council,2
Nottingham University Hospital NHS Trust,2
Devon and Cornwall Police,2
Northumbria Police,2
Sunrise Senior Living,2
Maritime and Coastguard Agency,2
Royal College of Radiologists,2
Stockport Clinical Commissioning Group,2
Mid Yorkshire Hospitals NHS Trust,2
Stockport CCG,2
Manchester University NHS Foundation Trust,2
Stockport Borough Council,2
Nottinghamshire Healthcare NHS Trust,2
Oldham Council,2
Luton and Dunstable Hospital,2
Luton Borough Council,2
St Pancras Hospital,2
London Heliport,2
Oxleas NHS Foundation Trust,2
Manchester University NHS Trust,2
Department of Health & Social Care,2
Midlands Partnership NHS Foundation Trust,2
Midlands Partnership NHS Trust,2
National Institute for Health & Care Excellence,2
National Association of Ambulance Medical Directors,2
Cornwall Partnership Foundation Trust,2
Thames Valley Police,2
Tameside and Glossop Integrated Care NHS Foundation Trust,2
Cumbria County Council,2
Cwm Taf Health Board,2
Tameside Hospital NHS Trust,2
NHS Wales,2
NHS Trafford Clinical Commissioning Group,2
Norfolk County Council,2
TFL,2
North Bristol NHS Trust,2
NHS Greater Manchester Integrated Care,2
North Cumbria University NHS Trust: NHS England,2
North East Ambulance Service NHS Foundation Trust,2
North East Ambulance Service NHS Trust,2
NHS,2
North Manchester General Hospital,2
Ministry of Justice,2
Milton Keynes Hospital,2
East Kent Hospitals University NHS Foundation Trust,2
Milton Keynes Council,2
Sussex NHS Trust,2
Military of Defence,2
Derriford Hospital,2
Surrey Police,2
London Borough of Tower Hamlets,2
London Ambulance Services NHS Trust,2
East Kent Hospitals University NHS Trust,2
Salford Royal NHS Trust,2
Great Western Hospitals NHS Trust,2
Greater Manchester Health & Social Care Partnership,2
Greater Manchester Mental Health NHS Foundation Trust,2
Greater Manchester Mental Health NHS Trust,2
Greater Manchester NHS Area Team,2
Queen’s Hospital,2
Secretary of State for Defence,2
REDACTED,2
HM Prison & Probation Service,2
HM Prison Service,2
Resuscitation Council,2
Road Haulage Association,2
HMCTS,2
HMP Dovegate,2
East Lancashire Healthcare NHS Trust,2
Homerton University Hospital,2
Royal Berkshire NHS Foundation Trust,2
HMP Leeds,2
Royal United Hospital,2
HMP Woodhill,2
Royal College of Emergency Medicine,2
Royal College of General Practitioners,2
Royal Stoke University Hospital,2
Royal National Lifeboat Institution,2
Royal National Lifeboat Institute,2
Heart of England NHS Foundation Trust,2
Royal College of Paediatrics and Child Health,2
Health Education England,2
Kent Police,2
Kettering General Hospital,2
Kings College Hospital,2
Gloucestershire County Council,2
London Borough of Lewisham,2
London Borough of Hackney,2
London Borough of Camden,2
St George’s Hospital,2
Royal College of Surgeons,2
East Sussex County Council,2
St Georges Hospital,2
Southern Health NHS Trust,2
Local Government Association,2
Leicestershire Partnership NHS Trust,2
Essex Police,2
Leicestershire NHS Trust,2
South Manchester University Hospital NHS Trust,2
South London and Maudsley NHS Trust,2
Leeds City Council,2
Portsmouth City Council,2
South London & Maudsley NHS Trust,2
Ford UK,2
South East Coast Ambulance Service,2
South East Ambulance Service,2
South Central Ambulance Services,2
South Central Ambulance Service NHS Trust,2
Lancashire Constabulary,2
GEOAmey,2
Lancashire Care NHS Trust,2
General Pharmaceutical Council,2
Solent NHS Trust,2
Medway Maritime Hospital,2
National Police Chief’s Council,2
Baedling Manor Care Home,2
Western Sussex Hospital NHS Trust,2
Bradford Teaching Hospitals NHS Trust,2
Avon and Wiltshire Mental Health Partnership NHS Trust,2
Avon and Wiltshire Mental Health NHS Trust,2
Capita,2
Churchgate Surgery,2
Wales Ambulance Service NHS Trust,2
The Healthcare Safety Investigation Branch,2
Cardiff & Vale University Health Board,2
Bedford Hospital NHS Trust,2
Cardiff University,2
Birmingham Cross City CCG,2
West Yorkshire Police,2
