sent_to,overdue,pending,received
111 Service,0,0,1
1st For Health International,1,0,0
2gether NHS Trust,0,0,1
5 Borough Partnership NHS Trust,0,0,1
5 Boroughs NHS  Foundation Trust,0,0,1
"5 Boroughs Partnership NHS Foundation Trust, Warrington",0,0,1
5 Boroughs Partnership NHS Trust,1,0,0
999 Liaison Committee,1,0,0
A.J Way & Co Ltd,1,0,0
A2Dominion of The Point,0,0,1
AACE’s National Directors of Operations Group,1,0,0
ABMU Health Board,4,0,3
ACPO,1,0,0
ADAPT,1,0,0
ADL PLC,1,0,0
ADS,0,0,1
AGD Equipment Limited,1,0,0
AR1 Homecare Limited,0,0,1
Adbolton Hall Nursing Home,0,0,1
Addaction,0,0,1
Addcounsel,0,0,1
Adelaide Medical Centre,0,0,1
Aden Nursing Home,0,0,1
Adferiad Recovery,0,1,0
Adult Safeguarding Civic Centre,0,0,1
Adult Social Care – Leeds City Council,0,0,1
Adult Social Services,0,0,1
Advanced Health & Care Ltd,1,0,0
Advinia Healthcare Ltd,1,0,0
Airedale NHS Trust,1,0,0
Al Hijrah School,0,0,1
Alexander Court Care Central,0,0,1
Alexander House Health Centre,0,0,1
Alexandra View Care Home,0,0,1
Alliance Pharmaceutical,0,0,1
Alvaston Medical Centre,0,0,1
Ambassador House Care Home,0,0,1
Ambulance Association,1,0,0
Amey PLC,1,0,0
Aneurin Bevan University Health Board,0,0,6
Aneurin Bevan University Health board,0,0,1
Aneurin Bevan University Heath Board,0,0,1
Aneurin University Health Board,1,0,0
Antron Manor Care Home,0,0,1
Aran Court Care Centre,0,0,1
Arboricultural Association,0,0,1
Arden Court Nursing Home,0,0,1
Arjo Huntliegh,1,0,0
Army Headquarters,0,0,1
Ashford and St Peter Hospital,1,0,0
Association of Ambulance,0,0,1
Association of Ambulance Chief Executives,2,0,2
Association of Police Officers,1,0,0
Audlem Medical Practice,0,0,1
Avenue House Nursing and Care Home,1,0,0
Avon Care Home Limited,0,0,1
Avon and Somerset Police,0,0,1
Avon and Wiltshire Mental Health NHS Trust,2,0,0
Avon and Wiltshire Mental Health Partnership NHS Trust,2,0,0
Avon and Wiltshire NHS Mental Health Trust,1,0,0
B & D Civil Engineering Limited,0,0,1
BAE Systems Ltd,0,0,2
BCP Council,0,0,1
BEIS,1,0,0
BMI Hospitals,1,0,0
BMI The Shelburne Hospital,0,0,1
BUPA UK,0,0,1
Baedling Manor Care Home,0,0,2
Bailey Trailers Ltd,0,0,1
Bampton Surgery,0,0,1
Banes CCG,1,0,0
Banes Park and Services,1,0,0
Bannatyne Group,0,0,1
Barchester Healthcare,0,0,1
Barchester Homes,0,0,1
"Barking, Havering and Redbridge NHS Trust",0,0,1
Barnet Council,0,0,1
"Barnet, Enfield and Haringey Mental Health NHS Trust",1,0,0
Barnsley Hospital NHS Foundation Trust,0,0,1
Barnsley Hospital NHS Trust,0,0,1
Barts Health,0,0,1
Barts Health NHS Trust,0,0,9
Barts Hospital NHS Trust,1,0,0
Barts NHS Trust,0,0,2
Basildon Hospital NHS Trust,0,0,1
Basildon Hospital Trust,1,0,0
Bassetlaw,0,0,1
Bateman Engineering Ltd,0,0,1
Bausch & Lomb UK Ltd,1,0,0
Bayer Plc,1,0,0
Bedford Borough Council,0,0,1
Bedford Hospital NHS Trust,0,0,2
Bedford Hospitals NHS Foundation Trust,0,0,1
Bedfordshire Police,0,0,2
Bedfordshire Police Constabulary,1,0,0
