sent_to,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses
NHS England,232,559,225,69,37,108,18
Department of Health and Social Care,213,546,280,82,28,85,18
Care Quality Commission,91,246,111,21,19,51,0
HM Prison and Probation Service,56,140,56,14,10,31,1
Department for Transport,40,78,42,12,10,16,2
Home Office,38,97,41,12,6,16,4
Ministry of Justice,34,86,33,5,5,24,0
Network Rail,32,46,38,25,2,4,1
National Institute for Health and Care Excellence,32,75,35,7,2,23,0
Health and Safety Executive,30,63,34,12,1,17,0
Highways England,26,37,21,14,2,10,0
Leeds Teaching Hospitals NHS Trust,26,31,20,14,1,11,0
National Police Chiefs’ Council,26,71,26,6,6,13,1
Department for Education,26,54,36,15,5,5,1
Betsi Cadwaladr University Health Board,24,33,20,17,1,6,0
Pennine Care NHS Trust,23,46,23,10,1,11,1
Wales Ambulance Service NHS Trust,20,48,33,10,3,7,0
Greater Manchester Health & Social Care Partnership,19,40,30,12,2,5,0
North East London Foundation Trust,18,32,9,4,1,13,0
NHS Improvement,18,53,24,3,8,4,3
Metropolitan Police,17,25,17,11,0,6,0
Medicines & Healthcare products Regulatory Agency,17,48,32,6,2,8,1
Greater Manchester Police,17,46,27,11,3,2,1
Birmingham and Solihull Mental Health Foundation Trust,17,46,25,7,3,6,1
Care UK,17,42,16,3,6,8,0
Medicines and Healthcare Products Regulatory Agency,17,45,22,5,2,10,0
College of Policing,16,49,25,5,5,6,0
University Hospitals Plymouth NHS Trust,16,24,17,11,1,3,1
Aneurin Bevan University Health Board,15,18,11,9,0,5,1
Betsi Cadwaladr University Health Board BCUHB,15,21,6,4,0,9,2
Barts Health NHS Foundation Trust,15,20,4,4,0,10,1
Barts Health NHS Trust,15,22,15,6,4,5,0
Metropolitan Police Service,15,29,17,7,1,7,0
Pennine Care NHS Foundation Trust,14,15,11,10,0,3,1
Greater Manchester Mental Health NHS Foundation Trust,14,23,7,4,0,10,0
Probation Service,14,34,12,5,3,6,0
HM Prison,14,33,10,5,2,7,0
Clinical Commissioning Group,14,30,17,7,2,5,0
Nottingham University Hospital NHS Trust,14,23,13,6,0,7,1
East London NHS Trust,14,18,9,8,0,6,0
Midlands Partnership NHS Foundation trust,13,22,11,5,1,7,0
Civil Aviation Authority,13,23,16,9,0,4,0
NHS Trafford Clinical Commissioning Group,13,31,14,2,3,8,0
Cardiff and Vale University Health Board,13,25,13,5,0,7,1
National Institute for Health & Care Excellence,13,34,16,5,1,5,2
Worcestershire Acute Hospitals NHS trust,12,17,8,6,0,6,0
Norfolk and Suffolk NHS Trust,12,15,14,11,0,1,0
Royal College of Obstetricians and Gynaecologists,12,28,9,1,2,9,0
Public Health England,12,35,13,2,2,8,0
Homerton Healthcare NHS Foundation Trust,12,20,6,3,1,8,0
General Medical Council,11,33,18,3,3,5,0
Stockport NHS Foundation Trust,11,11,10,8,0,3,0
West Midlands Police,11,28,22,4,5,2,0
Cwm Taf Morgannwg University Health Board,11,16,7,6,0,5,0
Royal London Hospital,11,12,8,7,0,4,0
Department of Transport,10,18,7,4,0,6,0
Gloucestershire Hospital NHS Foundation Trust,10,11,9,7,0,3,0
Sheffield Teaching Hospitals NHS Foundation Trust,10,12,9,5,0,5,0
Queen Elizabeth Hospital,10,17,12,5,1,3,1
East Midlands Ambulance Service,10,20,14,7,1,2,0
Sussex Partnership NHS Trust,10,15,12,7,0,3,0
HMP Pentonville,10,23,6,1,2,7,0
ABMU Health Board,10,15,8,3,0,7,0
Transport for London,10,14,10,6,1,3,0
Essex Partnership NHS Trust,10,15,7,3,1,5,1
Medway NHS Foundation Trust,9,11,7,6,0,3,0
