sent_to,no. PFDs,overdue,pending,received,% received
NHS England,333,226,11,96,28.8
Department of Health and Social Care,298,195,8,95,31.9
Care Quality Commission,111,84,1,26,23.4
HM Prison and Probation Service,63,46,0,17,27.0
Department for Transport,55,30,4,21,38.2
Ministry of Justice,50,41,3,6,12.0
Home Office,46,30,0,16,34.8
Health and Safety Executive,35,21,1,13,37.1
Network Rail,33,6,0,27,81.8
National Institute for Health and Care Excellence,32,25,0,7,21.9
National Police Chiefs’ Council,31,22,2,7,22.6
Department for Education,31,14,0,17,54.8
Leeds Teaching Hospitals NHS Trust,28,13,0,15,53.6
Highways England,26,10,0,16,61.5
National Institute for Health & Care Excellence,25,18,1,6,24.0
Homerton Healthcare NHS Foundation Trust,25,20,2,3,12.0
Wales Ambulance Service NHS Trust,25,14,0,11,44.0
Betsi Cadwaladr University Health Board,24,7,0,17,70.8
Pennine Care NHS Trust,24,14,0,10,41.7
Betsi Cadwaladr University Health Board BCUHB,24,19,0,5,20.8
Medicines & Healthcare products Regulatory Agency,23,16,1,6,26.1
College of Policing,23,12,2,9,39.1
Midlands Partnership NHS Foundation trust,22,16,1,5,22.7
Barts Health NHS Foundation Trust,22,18,0,4,18.2
Greater Manchester Police,21,8,0,13,61.9
North East London Foundation Trust,20,15,0,5,25.0
Birmingham and Solihull Mental Health Foundation Trust,20,13,0,7,35.0
Worcestershire Acute Hospitals NHS trust,20,13,1,6,30.0
Greater Manchester Health & Social Care Partnership,19,7,0,12,63.2
Greater Manchester Integrated Care,19,16,0,3,15.8
