year,Ms Alison Patricia Mutch OBE,Ms Mary Hassell,Mr Professor John S Pollard,Ms Nadia Persaud,Mr Tom Osborne,Mrs Jacqueline F Lake,Mr Andrew Harris,Mrs Louise Hunt,Mr Andrew Cox,Miss Veronica HAMILTON-DEELEY
2013,1,8,6,1,5,0,5,2,2,0
2014,0,18,30,3,15,12,13,6,5,9
2015,0,18,27,7,8,12,7,10,8,7
2016,1,16,18,9,9,4,7,9,6,7
2017,14,20,2,5,10,5,6,6,2,7
2018,28,14,2,6,6,1,3,8,7,7
2019,31,11,1,8,8,9,6,13,7,8
2020,24,9,0,11,5,5,4,2,7,3
2021,30,19,0,8,5,3,7,2,5,9
2022,24,10,0,9,3,13,3,3,5,0
2023,16,6,0,9,2,2,3,3,6,0
