sent_to,count
NHS England,147
Department of Health,127
Department of Health & Social Care,101
The Care Quality Commission,67
Department for Transport,37
National Offender Management Service,30
NICE,30
Home Office,27
Betsi Cadwaladr University Health Board,27
Network Rail,26
Health and Safety Executive,25
Highways England,23
MOJ,22
Pennine Care NHS Trust,22
Department for Education,17
MHRA,16
National Police Chiefs’ Council,16
Secretary of State for Health & Social Care,16
Care UK,16
Metropolitan Police,15
Barts Health NHS Trust,14
Greater Manchester Police,14
East London NHS Trust,14
Greater Manchester Health & Social Care Partnership,13
HM Prison and Probation Service,11
Aneurin Bevan University Health Board,11
Medicines & Healthcare products Regulatory Agency,11
Stockport NHS Foundation Trust,11
The College of Policing,11
Royal London Hospital,11
