name,title,role
Mr Andrew Philip Hetherington,Senior Coroner,Northumberland
HHJ Alexia Durran,The Chief Coroner of England and Wales,Honorary Member
Dr Julian Rupert Laurence Morris,Senior Coroner,London Inner South
Ms Jayne Hughes,Senior Coroner,Corresponding Member
Dr Brian J Farrell,Senior Coroner,Corresponding Member
Mr Richard Travers,Senior Coroner,Surrey
Mr Patrick McGurgan,Senior Coroner,Corresponding Member
Justice Lateefa Abisola OKUNNU,Senior Coroner,Corresponding Member
Dr Myra Cullinane,Senior Coroner,Corresponding Member
Mr Malcolm Simmons,Senior Coroner,Corresponding Member
Miss Louise Pinder,Senior Coroner,Rutland and North Leicestershire
Cdr. Richard Marshall RN,Senior Coroner,Corresponding Member
Dr Dirk W Huyer,Senior Coroner,Corresponding Member
Mr Aled Wyn Gruffydd,Senior Coroner,Swansea and Neath Port Talbot
"Matthew J Bowes, MD, FRCPC",Senior Coroner,Corresponding Member
Judge Jennifer Coate,Senior Coroner,Corresponding Member
Mr Martin Dominic Fleming,Senior Coroner,Yorkshire West Western
Mr graeme Irvine,Senior Coroner,London East
Peter A N de Gruchy,Senior Coroner,Corresponding Member
Raymond NAQVI,Senior Coroner,Corresponding Member
Ms Patricia Harding,Senior Coroner,Kent Mid and Medway
Miss Sarah Ormond-Walshe,Senior Coroner,London South
Mr Andrew Roger Barkley,Senior Coroner,Staffordshire and Stoke-on-Trent
Ms Julie Alison Goulding,Senior Coroner,"Sefton, Knowsley and St Helens"
Mr Philip Spinney,Senior Coroner,"County of Devon, Plymouth & Torbay"
Mr John Penhale Ellery,Senior Coroner,"Shropshire, Telford and Wrekin"
Mrs Rachael Clare Griffin,Senior Coroner,Dorset
Mr David William Graham RIDLEY,Senior Coroner,Wiltshire and Swindon
Greffier Sarah Kelly,Senior Coroner,Corresponding Member
Mr graeme Irvine,Senior Coroner,London East
Graeme Douglas Johnstone,Senior Coroner,Honorary Member
Mrs Caroline Sarah Sumeray,Senior Coroner,Isle of Wight
Justice John Angus MacRitchie,Senior Coroner,Corresponding Member
Mrs Emma Elizabeth Whitting,Senior Coroner,Bedfordshire and Luton
Dr Eleanor Fitzgerald Loftus,Senior Coroner,Corresponding Member
Mr Graeme David Hughes,Senior Coroner,South Wales Central
Mr S. McGovern,Senior Coroner,Warwickshire
Mr Alan Moore,Senior Coroner,Retired Member
Ms Julie Alison Goulding,Senior Coroner,"Sefton, Knowsley and St Helens"
Gordon Matenga,Senior Coroner,Corresponding Member
Dr Prof. Denis A. Cusack,Senior Coroner,Corresponding Member
Mr Paul Duncan Smith,Senior Coroner,Greater Lincolnshire
Dirk Huyer MD,Senior Coroner,Corresponding Member
Mr André Rebello OBE,Senior Coroner,Liverpool and the Wirral
Dr Eleanor Fitzgerald Loftus,Senior Coroner,Corresponding Member
Brian G Sherrard,Senior Coroner,Corresponding Member
Ciaran MacLoughlin,Senior Coroner,Corresponding Member
Mr Nigel Meadows,Senior Coroner,Manchester City
Isaac Tan,Senior Coroner,Corresponding Member
Mr Zafar Siddique,Senior Coroner,The Black Country Jurisdiction
Cherry McMillen,Senior Coroner,Corresponding Member
Ms Alison Brydie Hewitt,Senior Coroner,London City
Dr Andrina O'Brien,Senior Coroner,Corresponding Member
R .David Crawford Clarke,Senior Coroner,Retired Member
Ms Nicola Jane Mundy,Senior Coroner,Yorkshire South East
Ms Jayne Hughes,Senior Coroner,Corresponding Member
Judge Victor YEO Khee Eng,Senior Coroner,Corresponding Member
Dirk Huyer MD,Senior Coroner,Corresponding Member
Dr Fiona Jane Wilcox,Senior Coroner,London Inner West
Helen Margaret Scott,Senior Coroner,Corresponding Member
Mr Terence Carney,Senior Coroner,Gateshead and South Tyneside
Mr Peter Brunton,Senior Coroner,Ceredigion
Dr Andrina O'Brien,Senior Coroner,Corresponding Member
Ms Penelope Schofield,Senior Coroner,"West Sussex, Brighton and Hove"
Judge Jennifer Coate,Senior Coroner,Corresponding Member
Mrs. Linda P. Virgill (PHD),Senior Coroner,Corresponding Member
Wayne Solomon,Senior Coroner,Corresponding Member
Mrs Samantha Marsh,Senior Coroner,Somerset
Mr Nigel Parsley,Senior Coroner,Suffolk
Mrs Anne Pember,Senior Coroner,Northamptonshire
Mr Cathal Louth,Senior Coroner,Corresponding Member
Mrs Anne Pember,Senior Coroner,Northamptonshire
Mr Andrew Roger Barkley,Senior Coroner,Staffordshire and Stoke-on-Trent
Mary Jerram,Senior Coroner,Corresponding Member
Dr James Adeley,Senior Coroner,Lancashire and Blackburn with Darwen
Alastair John Trevaskis,Senior Coroner,Corresponding Member
Mr Darren Michael Salter,Senior Coroner,Oxfordshire
Mr Peter Brunton,Senior Coroner,Ceredigion
Miss Georgina Nolan,Senior Coroner,Newcastle and North Tyneside
Garry Leslie Evans,Senior Coroner,Corresponding Member
Mr Andrew Walker,Senior Coroner,London North
Ms Megan Pullum,Senior Coroner,Corresponding Member
Cdr. Richard Marshall RN,Senior Coroner,Corresponding Member
Deborah Malcolm,Senior Coroner,Corresponding Member
Mr David Heming,Senior Coroner,Cambridgeshire and Peterborough
The Hon. Mr. Justice Colton,Senior Coroner,Corresponding Member
Ms Jacqueline P Devonish,Senior Coroner,Cheshire
Mr David Place,Senior Coroner,Sunderland
Miss Georgina Nolan,Senior Coroner,Newcastle and North Tyneside
Mrs Catherine Mason,Senior Coroner,Leicester City and South Leicestershire
Mrs Catherine Mason,Senior Coroner,Leicester City and South Leicestershire
Ms Alison Patricia Mutch OBE,Senior Coroner,Greater Manchester South
Mr Geoffrey Sullivan,Senior Coroner,Hertfordshire
Mr Tom Osborne,Senior Coroner,Milton Keynes
Ms Caroline Saunders,Senior Coroner,Gwent
Soerdjbalie-Maikoe,Senior Coroner,Corresponding Member
Ms Patricia Harding,Senior Coroner,Kent Mid and Medway
CHRISTOPHER MARTIN,Senior Coroner,Corresponding Member
Dr Mary Flanagan,Senior Coroner,Corresponding Member
Dr Elizabeth A Earland,Senior Coroner,Retired Member
Cherry McMillen,Senior Coroner,Corresponding Member
Dr Michael Kennedy,Senior Coroner,Corresponding Member
Mrs lydia brown,Senior Coroner,London West
Miss Mairin Casey,Senior Coroner,Nottinghamshire
Mr Mark Harris,Senior Coroner,Corresponding Member
Ms Joanne Kearsley,Deputy Chief Coroner,Greater Manchester North
Mr Tony Williams,Senior Coroner,Retired Member
Mr Jonathan Richard Heath,Senior Coroner,North Yorkshire and York
Dr Mary Flanagan,Senior Coroner,Corresponding Member
Mr Paul Vernon Marks,Senior Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Mr Paul Vernon Marks,Senior Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Mr Jeremy Chipperfield,Senior Coroner,County Durham and Darlington
Mrs Louise Hunt,Senior Coroner,Birmingham and Solihull
Mr Alan Wilson,Senior Coroner,Blackpool and Fylde
James Peter Kitson,Senior Coroner,Corresponding Member
Mr David Donald William Reid,Senior Coroner,Worcestershire
Mr Philip Comyn,Senior Coroner,Corresponding Member
Mr Christopher Campbell Wilkinson,Senior Coroner,"Hampshire, Portsmouth and Southampton"
Mrs. Linda P. Virgill (PHD),Senior Coroner,Corresponding Member
Mrs Jacqueline F Lake,Senior Coroner,Norfolk
Miss Clare Bailey,Senior Coroner,Teesside and Hartlepool
Mr joseph mccrisken,Senior Coroner,Corresponding Member
Clare Faulds,Senior Coroner,Corresponding Member
Ms Katy Skerrett,Senior Coroner,Gloucestershire
"Matthew J Bowes, MD, FRCPC",Senior Coroner,Corresponding Member
Mr Kevin McLoughlin,Senior Coroner,Yorkshire West Eastern
Mr Philip Comyn,Senior Coroner,Corresponding Member
The Honourable Mr Justice Weir,Senior Coroner,Corresponding Member
Mary Jerram,Senior Coroner,Corresponding Member
Mrs Maria Eileen Voisin,Senior Coroner,Avon
Ms Fiona King,Acting Coroner,East Sussex
Miss Kirsty Gomersal,Acting Coroner,Cumbria
Mr Mr P J Bennett,Acting Coroner,Carmarthenshire and Pembrokeshire
Ms Hannah Godfrey,Area Coroner,Berkshire
Mrs Joanne Andrews,Area Coroner,"West Sussex, Brighton and Hove"
Miss Lorraine Harris,Area Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Mrs Alison Longhorn,Area Coroner,"County of Devon, Plymouth & Torbay"
Mr Oliver Robert Longstaff,Area Coroner,Yorkshire West Eastern
Mrs Victoria Davies,Area Coroner,Cheshire
Ms Deborah Archer,Area Coroner,"County of Devon, Plymouth & Torbay"
Miss Emma Brown,Area Coroner,Birmingham and Solihull
Ms ANN MARGARET TAYLOR,Area Coroner,Blackpool and Fylde
Mr Oliver Robert Longstaff,Area Coroner,Yorkshire West Eastern
Mr Nicholas Andrew Aldridge,Area Coroner,Corresponding Member
Mr Nicholas Walker,Area Coroner,"Hampshire, Portsmouth and Southampton"
Mrs Patricia Claire Morgan,Area Coroner,South Wales Central
Miss Emma Serrano,Area Coroner,Staffordshire and Stoke-on-Trent
Mrs Samantha Goward,Area Coroner,Norfolk
Mr Brendan Joseph Allen,Area Coroner,Dorset
Ms Katrina Hepburn,Area Coroner,Kent Central and South East
Mr Joseph Turner,Area Coroner,"West Sussex, Brighton and Hove"
Rosemary Jane Baxter,Area Coroner,Retired Member
Mrs Claire Welch,Area Coroner,Retired Member
Ms Joy Michelle Brown OBE,Area Coroner,Essex
Mr James Bennett,Area Coroner,Birmingham and Solihull
Miss Jayne Wilkes,Area Coroner,Greater Lincolnshire
Dr Crona Gallagher,Area Coroner,Corresponding Member
